"Mois de Reporting";"Mois de vente";"Plateforme";"Pays / Région";"Nom du label";"Nom de l'artiste";"Titre de la sortie";"Titre de la piste";"UPC";"ISRC";"Reference catalogue sortie";"Type de sortie";"Type de vente";"Quantite";"Devise de paiement du client";"Prix unitaire";"Frais de reproduction mechanique";"Revenu brut";"Taux de revenu client";"Revenu Net"
"2023-08-01";"2023-06-01";"Deezer";"Canada";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"Stream";"4";"EUR";"0,003388";"0,000000";"0,013551398000000";"0,75";"0,010163548500000"
"2023-08-01";"2023-07-01";"Spotify";"Mexico";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"1";"EUR";"0,001339";"0,000000";"0,001339000000000";"0,75";"0,001004250000000"
"2023-08-01";"2023-07-01";"Spotify";"India";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"1";"EUR";"0,000881";"0,000000";"0,000881000000000";"0,75";"0,000660750000000"
"2023-08-01";"2023-08-01";"YouTube UGC";"Ukraine";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"1";"EUR";"0,000935";"0,000000";"0,000934648312000";"0,75";"0,000700986234000"
"2023-08-01";"2023-07-01";"Tidal";"Argentina";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"2";"EUR";"0,000364";"0,000000";"0,000728000000000";"0,75";"0,000546000000000"
"2023-08-01";"2023-08-01";"Apple Music";"Canada";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"8";"EUR";"0,004050";"0,000000";"0,032403494150250";"0,75";"0,024302620612687"
"2023-08-01";"2023-08-01";"Apple Music";"South africa";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"1";"EUR";"0,001204";"0,000000";"0,001204368447830";"0,75";"0,000903276335873"
"2023-09-01";"2023-08-01";"Spotify";"Croatia";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840775786";"FR-X76-21-64425";"";"Music release";"PLATFORM PROMOTION";"1";"EUR";"-0,000659";"0,000000";"-0,000659146000000";"0,75";"-0,000494359500000"
"2023-09-01";"2023-08-01";"Spotify";"South africa";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"4";"EUR";"-0,000227";"0,000000";"-0,000908230000000";"0,75";"-0,000681172500000"
"2023-09-01";"2023-08-01";"Spotify";"Korea, republic of";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"PLATFORM PROMOTION";"3";"EUR";"-0,000882";"0,000000";"-0,002645900100000";"0,75";"-0,001984425075000"
